layer,depth,province
677,-5355.19091796875,non-categ_mpas
678,-5347.01708984375,non-categ_mpas
679,-5497.1865234375,non-categ_mpas
680,-5700.68310546875,non-categ_mpas
681,-5648.07763671875,non-categ_mpas
682,-5799.52734375,non-categ_mpas
683,-5585.90087890625,non-categ_mpas
684,-5676.43798828125,non-categ_mpas
685,-5668.11181640625,non-categ_mpas
686,-5812.021484375,non-categ_mpas
687,-5614.81591796875,non-categ_mpas
688,-5005.10400390625,non-categ_mpas
689,-5433.36474609375,non-categ_mpas
690,-5708.50390625,non-categ_mpas
691,-5622.4833984375,non-categ_mpas
692,-5697.080078125,non-categ_mpas
693,-5739.673828125,non-categ_mpas
694,-4810.95068359375,non-categ_mpas
695,-4506.521484375,non-categ_mpas
696,-2849.98974609375,non-categ_mpas
697,-3982.79223632813,non-categ_mpas
698,-5058.734375,non-categ_mpas
699,-4751.20556640625,non-categ_mpas
700,-4968.138671875,non-categ_mpas
701,-5268.86962890625,non-categ_mpas
702,-5323.962890625,non-categ_mpas
703,-5553.46826171875,non-categ_mpas
704,-5642.1767578125,non-categ_mpas
705,-5507.1376953125,non-categ_mpas
706,-5372.73876953125,non-categ_mpas
707,-5311.0224609375,non-categ_mpas
